"","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","ExterQual","ExterCond","GarageQual","GarageCond","FireplaceQu","KitchenQual","HeatingQC","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinType2","Functional","GarageFinish","Fence","NewerDwelling","RegularLotShape","LandLeveled","LandSlopeGentle","ElectricalSB","GarageDetchd","HasPavedDrive","HasWoodDeck","Has2ndFlr","HasMasVnr","HasShed","Remodeled","RecentRemodel","NewHouse","HasX2ndFlrSF","HasMasVnrArea","HasWoodDeckSF","HasOpenPorchSF","HasEnclosedPorch","HasX3SsnPorch","HasScreenPorch","HighSeason","NbrhRich","NeighborhoodBin","PartialPlan","TotalArea","AreaInside","Age","TimeSinceSold","YearSinceRemodel","SalePrice"
"1",60,65,8450,7,5,6,6,196,706,0,150,856,856,854,0,1710,1,0,2,1,3,1,8,0,6,2,548,0,61,0,0,0,0,0,2,6,4,3,3,3,0,4,4,4,1,6,1,7,1,3,14,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,14452,1710,7,2,5,208500
"2",20,80,9600,6,8,5,5,0,978,0,284,1262,1262,0,0,1262,0,1,2,0,3,1,6,1,5,2,460,298,0,0,0,0,0,0,5,6,3,3,3,3,3,3,4,4,4,5,1,7,1,3,9,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,3,0,15486,1262,34,3,31,181500
"3",60,68,11250,7,5,6,6,162,486,0,434,920,920,866,0,1786,1,0,2,1,3,1,6,1,6,2,608,0,42,0,0,0,0,0,9,6,4,3,3,3,3,4,4,4,2,6,1,7,1,3,14,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0,2,0,17542,1786,9,2,6,223500
"4",70,60,9550,7,5,2,4,0,216,0,540,756,961,756,0,1717,1,0,1,0,3,1,7,1,6,3,642,0,35,272,0,0,0,0,2,6,3,3,3,3,4,4,3,3,1,5,1,7,1,3,10,0,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,3,0,15505,1717,95,4,36,140000
"5",60,84,14260,8,5,6,6,350,655,0,490,1145,1145,1053,0,2198,1,0,2,1,4,1,9,1,6,3,836,192,84,0,0,0,0,0,12,6,4,3,3,3,3,4,4,4,3,6,1,7,1,3,14,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,4,0,22492,2198,10,2,8,250000
"6",50,85,14115,5,5,6,6,0,732,0,64,796,796,566,0,1362,1,0,1,1,1,1,5,0,6,2,480,40,30,0,320,0,0,700,10,6,3,3,3,3,0,3,4,4,1,6,1,7,1,2,4,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,19386,1362,17,1,14,143000
"7",20,75,10084,8,5,6,6,186,1369,0,317,1686,1694,0,0,1694,1,0,2,0,3,1,7,1,6,2,636,255,57,0,0,0,0,0,8,6,4,3,3,3,4,4,4,5,3,6,1,7,1,3,9,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,3,0,18053,1694,6,3,2,307000
"8",60,80,10382,7,6,5,5,240,859,32,216,1107,1107,983,0,2090,1,0,2,1,3,1,7,2,5,2,484,235,204,228,0,0,0,350,11,6,3,3,3,3,3,3,4,4,2,5,4,7,1,3,14,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,18247,2090,37,1,36,200000
"9",50,51,6120,7,5,2,3,0,0,0,952,952,1022,752,0,1774,0,0,2,0,2,2,8,2,2,2,468,90,0,205,0,0,0,0,4,6,3,3,2,3,3,3,3,3,1,1,1,3,1,3,4,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,12386,1774,79,2,58,129900
"10",190,50,7420,5,6,3,3,0,851,0,140,991,1077,0,0,1077,1,0,1,0,2,2,5,2,3,1,205,0,4,0,0,0,0,0,1,6,3,3,4,3,3,3,4,3,1,6,1,7,1,3,3,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,11815,1077,71,2,58,118000
